time,open,high,low,close,volume
2023-06-01T00:00:00+00:00,1.31000,1.31040,1.30897,1.30937,100
2023-06-01T00:15:00+00:00,1.30937,1.30988,1.30897,1.30948,100
2023-06-01T00:30:00+00:00,1.30948,1.30988,1.30877,1.30917,100
2023-06-01T00:45:00+00:00,1.30917,1.30981,1.30877,1.30941,100
2023-06-01T01:00:00+00:00,1.30941,1.31012,1.30901,1.30972,100
2023-06-01T01:15:00+00:00,1.30972,1.31012,1.30827,1.30867,100
2023-06-01T01:30:00+00:00,1.30867,1.30907,1.30711,1.30751,100
2023-06-01T01:45:00+00:00,1.30751,1.30872,1.30711,1.30832,100
2023-06-01T02:00:00+00:00,1.30832,1.30872,1.30734,1.30774,100
2023-06-01T02:15:00+00:00,1.30774,1.30814,1.30670,1.30710,100
2023-06-01T02:30:00+00:00,1.30710,1.30869,1.30670,1.30829,100
2023-06-01T02:45:00+00:00,1.30829,1.30869,1.30782,1.30822,100
2023-06-01T03:00:00+00:00,1.30822,1.30943,1.30782,1.30903,100
2023-06-01T03:15:00+00:00,1.30903,1.30943,1.30857,1.30897,100
2023-06-01T03:30:00+00:00,1.30897,1.30970,1.30857,1.30930,100
2023-06-01T03:45:00+00:00,1.30930,1.30970,1.30806,1.30846,100
2023-06-01T04:00:00+00:00,1.30846,1.30919,1.30806,1.30879,100
2023-06-01T04:15:00+00:00,1.30879,1.31007,1.30839,1.30967,100
2023-06-01T04:30:00+00:00,1.30967,1.31013,1.30927,1.30973,100
2023-06-01T04:45:00+00:00,1.30973,1.31071,1.30933,1.31031,100
2023-06-01T05:00:00+00:00,1.31031,1.31112,1.30991,1.31072,100
2023-06-01T05:15:00+00:00,1.31072,1.31112,1.30927,1.30967,100
2023-06-01T05:30:00+00:00,1.30967,1.31069,1.30927,1.31029,100
2023-06-01T05:45:00+00:00,1.31029,1.31091,1.30989,1.31051,100
2023-06-01T06:00:00+00:00,1.31051,1.31091,1.30963,1.31003,100
2023-06-01T06:15:00+00:00,1.31003,1.31043,1.30851,1.30891,100
2023-06-01T06:30:00+00:00,1.30891,1.31018,1.30851,1.30978,100
2023-06-01T06:45:00+00:00,1.30978,1.31018,1.30932,1.30972,100
2023-06-01T07:00:00+00:00,1.30972,1.31064,1.30932,1.31024,100
2023-06-01T07:15:00+00:00,1.31024,1.31155,1.30984,1.31115,100
2023-06-01T07:30:00+00:00,1.31115,1.31207,1.31075,1.31167,100
2023-06-01T07:45:00+00:00,1.31167,1.31308,1.31127,1.31268,100
2023-06-01T08:00:00+00:00,1.31268,1.31308,1.31203,1.31243,100
2023-06-01T08:15:00+00:00,1.31243,1.31355,1.31203,1.31315,100
2023-06-01T08:30:00+00:00,1.31315,1.31355,1.31261,1.31301,100
2023-06-01T08:45:00+00:00,1.31301,1.31446,1.31261,1.31406,100
2023-06-01T09:00:00+00:00,1.31406,1.31537,1.31366,1.31497,100
2023-06-01T09:15:00+00:00,1.31497,1.31537,1.31360,1.31400,100
2023-06-01T09:30:00+00:00,1.31400,1.31440,1.31273,1.31313,100
2023-06-01T09:45:00+00:00,1.31313,1.31353,1.31205,1.31245,100
2023-06-01T10:00:00+00:00,1.31245,1.31397,1.31205,1.31357,100
2023-06-01T10:15:00+00:00,1.31357,1.31397,1.31301,1.31341,100
2023-06-01T10:30:00+00:00,1.31341,1.31412,1.31301,1.31372,100
2023-06-01T10:45:00+00:00,1.31372,1.31412,1.31284,1.31324,100
2023-06-01T11:00:00+00:00,1.31324,1.31366,1.31284,1.31326,100
2023-06-01T11:15:00+00:00,1.31326,1.31366,1.31258,1.31298,100
2023-06-01T11:30:00+00:00,1.31298,1.31338,1.31223,1.31263,100
2023-06-01T11:45:00+00:00,1.31263,1.31323,1.31223,1.31283,100
2023-06-01T12:00:00+00:00,1.31283,1.31343,1.31243,1.31303,100
2023-06-01T12:15:00+00:00,1.31303,1.31440,1.31263,1.31400,100
2023-06-01T12:30:00+00:00,1.31400,1.31484,1.31360,1.31444,100
2023-06-01T12:45:00+00:00,1.31444,1.31587,1.31404,1.31547,100
2023-06-01T13:00:00+00:00,1.31547,1.31672,1.31507,1.31632,100
2023-06-01T13:15:00+00:00,1.31632,1.31790,1.31592,1.31750,100
2023-06-01T13:30:00+00:00,1.31750,1.31831,1.31710,1.31791,100
2023-06-01T13:45:00+00:00,1.31791,1.31831,1.31671,1.31711,100
2023-06-01T14:00:00+00:00,1.31711,1.31837,1.31671,1.31797,100
2023-06-01T14:15:00+00:00,1.31797,1.31949,1.31757,1.31909,100
2023-06-01T14:30:00+00:00,1.31909,1.32046,1.31869,1.32006,100
2023-06-01T14:45:00+00:00,1.32006,1.32062,1.31966,1.32022,100
2023-06-01T15:00:00+00:00,1.32022,1.32114,1.31982,1.32074,100
2023-06-01T15:15:00+00:00,1.32074,1.32114,1.31964,1.32004,100
2023-06-01T15:30:00+00:00,1.32004,1.32124,1.31964,1.32084,100
2023-06-01T15:45:00+00:00,1.32084,1.32142,1.32044,1.32102,100
2023-06-01T16:00:00+00:00,1.32102,1.32142,1.32010,1.32050,100
2023-06-01T16:15:00+00:00,1.32050,1.32090,1.31905,1.31945,100
2023-06-01T16:30:00+00:00,1.31945,1.32070,1.31905,1.32030,100
2023-06-01T16:45:00+00:00,1.32030,1.32188,1.31990,1.32148,100
2023-06-01T17:00:00+00:00,1.32148,1.32188,1.32009,1.32049,100
2023-06-01T17:15:00+00:00,1.32049,1.32161,1.32009,1.32121,100
2023-06-01T17:30:00+00:00,1.32121,1.32161,1.32060,1.32100,100
2023-06-01T17:45:00+00:00,1.32100,1.32140,1.31976,1.32016,100
2023-06-01T18:00:00+00:00,1.32016,1.32056,1.31926,1.31966,100
2023-06-01T18:15:00+00:00,1.31966,1.32071,1.31926,1.32031,100
2023-06-01T18:30:00+00:00,1.32031,1.32160,1.31991,1.32120,100
2023-06-01T18:45:00+00:00,1.32120,1.32160,1.31971,1.32011,100
2023-06-01T19:00:00+00:00,1.32011,1.32078,1.31971,1.32038,100
2023-06-01T19:15:00+00:00,1.32038,1.32078,1.31889,1.31929,100
2023-06-01T19:30:00+00:00,1.31929,1.32022,1.31889,1.31982,100
2023-06-01T19:45:00+00:00,1.31982,1.32022,1.31901,1.31941,100
